station_id,station_name,latitude,longitude,pollutant,value,unit,avg_period_minutes,datetime_utc,datetime_local,source_url,source_agency,ingested_at_utc,license,quality_flag
cras_fercal,CRAS Fercal,-15.7023,-47.8008,pm25,11.56,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,pm10,16.22,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,o3,16.58,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,no2,9.27,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,so2,1.78,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,co,570.71,µg/m³,60,2000-01-01T00:00:00,2000-01-01T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,pm25,13.56,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,pm10,22.06,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,o3,20.76,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,no2,12.61,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,so2,2.78,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
cras_fercal,CRAS Fercal,-15.7023,-47.8008,co,704.21,µg/m³,60,2000-01-02T00:00:00,2000-01-02T00:00:00,https://monitorar.mma.gov.br/painel,MMA,2025-09-17T01:34:59.345854,,ok
